id,PMID,Title
30,36830847,Analysis of PD-L1 and CD3 Expression in Glioblastoma Patients and Correlation with Outcome: A Single Center Report
89,36993983,Protective anti-tumor vaccination against glioblastoma expressing the MHC class II transactivator CIITA
180,36791206,Small-molecule toosendanin reverses macrophage-mediated immunosuppression to overcome glioblastoma resistance to immunotherapy
285,36814111,Cuproptosis-related classification and personalized treatment in lower-grade gliomas to prompt precise oncology
290,36862886,A new immune checkpoint-associated nine-gene signature for prognostic prediction of glioblastoma
322,36898734,Anti-VEGF therapy improves EGFR-vIII-CAR-T cell delivery and efficacy in syngeneic glioblastoma models in mice
332,36881002,Driver Mutations Dictate the Immunologic Landscape and Response to Checkpoint Immunotherapy of Glioblastoma
334,36973076,New Insights on DR and DQ Human Leukocyte Antigens in Anti-LGI1 Encephalitis
351,36796878,PKR induces TGF-β and limits oncolytic immune therapy
456,36959214,"STING agonist-loaded, CD47/PD-L1-targeting nanoparticles potentiate antitumor immunity and radiotherapy for glioblastoma"
652,36945572,Glioblastoma-instructed microglia transit to heterogeneous phenotypic states with phagocytic and dendritic cell-like features in patient tumors and patient-derived orthotopic xenografts
763,36928507,Radiotherapy combined with anti-CEACAM1 immunotherapy to induce survival advantage in glioma
809,36789741,"Phase 2 trials in the era of glioblastoma immunotherapy: New mechanisms of action, familiar challenges in trial design and tumor response assessment"
831,36836276,Diagnosis of Aspergillosis in Horses
836,36856519,Co-expression prognostic-related genes signature base on propofol and sevoflurane anesthesia predict prognosis and immunotherapy response in glioblastoma
887,36949040,Checkpoint kinase 1/2 inhibition potentiates anti-tumoral immune response and sensitizes gliomas to immune checkpoint blockade
925,36963400,Neutralizing IL-8 potentiates immune checkpoint blockade efficacy for glioma
999,36986829,Effects of Dendrimer-microRNA Nanoformulations against Glioblastoma Stem Cells
1023,36849306,Label-free in vitro assays predict the potency of anti-disialoganglioside chimeric antigen receptor T-cell products
1318,36924564,Nifuroxazide inhibits the growth of glioblastoma and promotes the infiltration of CD8 T cells to enhance antitumour immunity
1355,36875891,Modeling interaction of Glioma cells and CAR T-cells considering multiple CAR T-cells bindings
1502,36805678,Convection-enhanced delivery of nanoencapsulated gene locoregionally yielding ErbB2/Her2-specific CAR-macrophages for brainstem glioma immunotherapy
1617,36858863,A case of pediatric anti-leucine-rich glioma inactivated 1 encephalitis with faciobrachial dystonic seizure
1645,36921098,Anti-PD-1 and extended half-life-IL-2 synergize for treatment of murine glioblastoma independent of host MHC Class I expression
1789,36804924,A nitric-oxide driven chemotactic nanomotor for enhanced immunotherapy of glioblastoma
1861,36970537,Glutamine metabolism-related genes predict prognosis and reshape tumor microenvironment immune characteristics in diffuse gliomas
1952,36834607,Acquisition of Immune Privilege in GBM Tumors: Role of Prostaglandins and Bile Salts
1969,36845744,A prognostic NAD+ metabolism-related gene signature for predicting response to immune checkpoint inhibitor in glioma
1989,36989846,The prognostic significance of Nectin-2 and Nectin-4 expression in glial tumors
2086,36917093,Integrative analysis to screen novel pyroptosis-related LncRNAs for predicting clinical outcome of glioma and validation in tumor tissue
2137,36991262,IL13Rα2-targeted third-generation CAR-T cells with CD28 transmembrane domain mediate the best anti-glioblastoma efficacy
2138,36918223,Response to: Correspondence on 'H3.3K27M mutation is not a suitable target for immunotherapy in HLA-A2+ patients with diffuse midline glioma' by Chheda et al
2227,36944450,Correspondence on 'H3.3K27M mutation is not a suitable target for immunotherapy in HLA-A2+ patients with diffuse midline glioma' by Immisch et al
2277,36917020,Regulatory Issues: PMDA - Review of Sakigake Designation Products: Oncolytic Virus Therapy with Delytact Injection (Teserpaturev) for Malignant Glioma
2367,36966611,GD2 CAR-T cells in combination with Nivolumab exhibit enhanced antitumor efficacy
2372,36895564,Editorial: Innovative theranostic approaches towards neuro-immunology in gliomas
2484,36831580,Adjuvant Vaccination with Allogenic Dendritic Cells Significantly Prolongs Overall Survival in High-Grade Gliomas: Results of a Phase II Trial
2507,36836180,A Systematic Pan-Cancer Analysis of MEIS1 in Human Tumors as Prognostic Biomarker and Immunotherapy Target
2551,36993772,mRNA aggregates harness danger response for potent cancer immunotherapy
2670,36998056,N7-methylguanosin regulators-mediated methylation modification patterns and characterization of the immune microenvironment in lower-grade glioma
2679,36792723,Nonrandomised controlled trial in recurrent glioblastoma patients: the promise of autologous tumour lysate-loaded dendritic cell vaccination
2683,36808076,TCR-engineered adoptive cell therapy effectively treats intracranial murine glioblastoma
2743,36861832,Protocol to assess the antitumor efficacy of an immunotherapeutic peptide in syngeneic orthotopic glioma mouse models
2765,36964665,New perspectives: glioma in adult patients
2801,36820554,Construction of a pyroptosis-related lncRNAs signature for predicting prognosis and immunotherapy response in glioma
2811,36865549,Novel exosome-related risk signature as prognostic biomarkers in glioblastoma
2825,36993337,Perturbomics of tumor-infiltrating NK cells
3078,36975539,Alteration of Mesenchymal Stem Cells Isolated from Glioblastoma Multiforme under the Influence of Photodynamic Treatment
3086,36852158,Peptide ARHGEF9 Inhibits Glioma Progression via PI3K/AKT/mTOR Pathway
3246,36856182,Identification of a copper metabolism-related gene signature for predicting prognosis and immune response in glioma
3256,36799362,Broad reactivity and enhanced potency of recombinant anti-EGFR × anti-CD3 bispecific antibody-armed activated T cells against solid tumours
3275,36860853,Lipid metabolism-related gene signature predicts prognosis and depicts tumor microenvironment immune landscape in gliomas
3323,36839889,Low-Level Laser Treatment Induces the Blood-Brain Barrier Opening and the Brain Drainage System Activation: Delivery of Liposomes into Mouse Glioblastoma
3394,36865164,Three-Dimensional Bioconjugated Liquid-Like Solid (LLS) Enhance Characterization of Solid Tumor - Chimeric Antigen Receptor T cell interactions
